房名信息,地点,房屋情况,房源情况,所在地区,关注/发布时间,价格（万）,单价
力高花园大4房，大门前面是天虹，看房有钥匙,力高君御国际 , | 4室2厅 | 88.72平米 | 南 | 毛坯,中楼层(共35层)2016年建板塔结合  -  ,坪山,29人关注 / 9个月以前发布,345,单价38887元/平米
房子是满五唯一，，业主诚意出售,富盈门 , | 2室2厅 | 81.97平米 | 东南 | 精装,低楼层(共18层)2001年建塔楼  -  ,西乡,38人关注 / 8个月以前发布,420,单价51239元/平米
怡乐花园 精装两房 南北通透 诚心出售,怡乐花园 , | 2室1厅 | 71.87平米 | 南 北 | 精装,高楼层(共7层)2001年建板塔结合  -  ,丹竹头,40人关注 / 4个月以前发布,258,单价35899元/平米
朝南看花园，户型好，精装四房，采光及好,佳兆业水岸新都 , | 4室1厅 | 124.18平米 | 东南 | 精装,低楼层(共25层)2007年建板楼  -  ,龙岗双龙,46人关注 / 8个月以前发布,320,单价25770元/平米
陶柏莉 大三房 好户型 大阳台 高楼层,承翰陶柏莉 , | 3室2厅 | 89.5平米 | 南 | 毛坯,高楼层(共28层)2016年建板塔结合  -  ,大鹏半岛,1人关注 / 20天以前发布,325,单价36313元/平米
满五年唯一 保养如新的精装修 南北通双阳台,万科翰邻城 , | 4室2厅 | 118.89平米 | 南 北 | 精装,高楼层(共32层)2011年建塔楼  -  ,龙岗中心城,59人关注 / 1个月以前发布,550,单价46262元/平米
此房小区安静， 靠生态广场，交通方便,中旅广场 , | 3室2厅 | 118.08平米 | 南 | 简装,低楼层(共34层)1998年建板塔结合  -  ,华侨城,3人关注 / 1个月以前发布,780,单价66057元/平米
地铁口物业，居家三房，全新装修，未锁定。,汇景豪苑 , | 3室1厅 | 114.09平米 | 南 | 精装,中楼层(共32层)2000年建板塔结合  -  ,科技园,8人关注 / 10天以前发布,700,单价61356元/平米
园岭新村 中间位置 正规三房 红本在手 未占用,园岭新村 , | 3室1厅 | 86.24平米 | 南 | 简装,中楼层(共8层)1985年建板楼  -  ,园岭,4人关注 / 6天以前发布,630,单价73052元/平米
高楼层，满五年税费少，业主诚心卖，有钥匙随时看房,祥福雅居 , | 1室1厅 | 42.61平米 | 西 | 精装,高楼层(共31层)2005年建板塔结合  -  ,笋岗,82人关注 / 7个月以前发布,215,单价50458元/平米
满五年，格局好，入户花园 安静看花园,茵悦之生花园三期 , | 2室1厅 | 68.41平米 | 北 | 精装,低楼层(共18层)2007年建塔楼  -  ,布吉水径,36人关注 / 3个月以前发布,315,单价46046元/平米
雅豪祥苑 3室1厅 260万,雅豪祥苑 , | 3室1厅 | 69平米 | 南 | 精装,低楼层(共6层)2003年建板楼  -  ,龙岗中心城,28人关注 / 13天以前发布,260,单价37682元/平米
公园里的家 南北通4+1房 带固定产权车位,云顶翠峰 , | 4室2厅 | 185.1平米 | 东南 | 简装,中楼层(共18层)2000年建板塔结合  -  ,皇岗,17人关注 / 9个月以前发布,1250,单价67532元/平米
海岸城商圈 高楼层看海景三房  满五红本 诚心出售,云海天城 , | 3室1厅 | 111.31平米 | 东南 | 精装,高楼层(共34层)2004年建板楼  -  ,后海,52人关注 / 4个月以前发布,730,单价65583元/平米
蔚蓝海岸3期 安静不吵 满五年 红本,蔚蓝海岸3期 , | 3室2厅 | 129.07平米 | 南 北 | 精装,低楼层(共18层)2003年建板塔结合  -  ,后海,6人关注 / 8个月以前发布,1260,单价97622元/平米
户型方正 高楼层 装修好  业主诚心出售,翠枫豪园 , | 3室1厅 | 103.31平米 | 南 | 精装,高楼层(共18层)2006年建板塔结合  -  ,布吉街,12人关注 / 1个月以前发布,420,单价40655元/平米
中信红树湾难得大面积装修保养好，还要犹豫不决么,中信红树湾北区 , | 4室2厅 | 202.11平米 | 东南 | 精装,中楼层(共31层)2009年建板楼  -  ,红树湾,6人关注 / 4个月以前发布,3000,单价148435元/平米
文锦渡 花园小区一房一厅特殊户型高层东南看香港,朗钜御风庭 , | 1室1厅 | 44.87平米 | 南 | 精装,高楼层(共28层)2004年建板塔结合  -  ,黄贝岭,22人关注 / 6个月以前发布,235,单价52374元/平米
融湖中心城二期 3室2厅 370万,融湖中心城二期 , | 3室2厅 | 89平米 | 南 | 简装,中楼层(共31层)2018年建塔楼  -  ,平湖,4人关注 / 24天以前发布,370,单价41574元/平米
双阳台两房 17平主卧 10平阳台 居家宽敞 方正实用,碧海富通城一期 , | 2室2厅 | 73.63平米 | 西 | 简装,低楼层(共9层)2006年建板楼  -  ,碧海,72人关注 / 3个月以前发布,423,单价57450元/平米
南向采光好 看米铺 大两房 红本在手 满五唯一,京基御景华城 , | 2室1厅 | 71.69平米 | 西南 | 精装,高楼层(共34层)2005年建板塔结合  -  ,赤尾,26人关注 / 18天以前发布,450,单价62771元/平米
桃源村通透三房，中间楼层，位置安静，采光好。,桃源村二期 , | 3室2厅 | 80.45平米 | 南 | 精装,中楼层(共8层)2000年建板楼  -  ,西丽,58人关注 / 21天以前发布,500,单价62151元/平米
2014年新小区   精装标准大两房  婚房优选 你值得拥有,康达尔山海上城 , | 3室1厅 | 72.85平米 | 西南 | 精装,低楼层(共31层)2014年建板塔结合  -  ,西乡,93人关注 / 一年前发布,420,单价57653元/平米
11号线塘尾站 精装三房两卫 配套齐全 使用率高,中粮凤凰里 , | 3室2厅 | 89.52平米 | 东南 | 精装,低楼层(共27层)2016年建板塔结合  -  ,福永,20人关注 / 1个月以前发布,430,单价48034元/平米
欧式花园复式房，户型方正实用，您不二的选择,佳兆业可园四期 , | 3室2厅 | 120.99平米 | 南 北 | 精装,中楼层(共24层)2005年建板楼  -  ,布吉关,3人关注 / 9天以前发布,680,单价56203元/平米
旭飞花园 2室1厅 205万,旭飞花园 , | 2室1厅 | 37.54平米 | 北 | 精装,高楼层(共9层)1997年建板楼  -  ,八卦岭,40人关注 / 21天以前发布,205,单价54609元/平米
下楼即是深中，满五年唯一自住优质房诚心出售,万科翰邻城 , | 3室2厅 | 74.51平米 | 南 | 精装,中楼层(共24层)2012年建塔楼  -  ,龙岗中心城,10人关注 / 1个月以前发布,420,单价56369元/平米
花城南向看花园三房，连体阳台，业主诚心出售！,万科四季花城五期 , | 3室2厅 | 85.57平米 | 东南 | 简装,中楼层(共6层)2002年建板塔结合  -  ,民治,42人关注 / 6天以前发布,410,单价47914元/平米
君悦龙庭低于成交价40万随时看房业主诚信出售欢迎咨询,君悦龙庭 , | 4室2厅 | 124.96平米 | 东南 | 精装,低楼层(共28层)2010年建板塔结合  -  ,龙岗中心城,33人关注 / 10个月以前发布,618,单价49456元/平米
鹏盛村 南向精装  楼下八卦美食街,鹏盛村 , | 1室1厅 | 31.48平米 | 南 | 精装,高楼层(共8层)1992年建板塔结合  -  ,八卦岭,66人关注 / 一年前发布,153,单价48603元/平米
业主诚心放卖，户型方正，采光好，交通便利,宏轩大厦 , | 1室1厅 | 43.84平米 | 北 | 简装,高楼层(共33层)2005年建板塔结合  -  ,石厦,4人关注 / 19天以前发布,365,单价83258元/平米
70年产权精装三房、中间楼层，安静，小区带幼儿园,文汇花园 , | 3室1厅 | 86.91平米 | 西南 | 精装,中楼层(共8层)2000年建板塔结合  -  ,新安,51人关注 / 10天以前发布,385,单价44299元/平米
鹏盛年华正规一室一厅， 高楼层 东向视野开阔！,鹏盛年华 , | 1室1厅 | 38.23平米 | 东 | 简装,高楼层(共25层)2003年建板塔结合  -  ,八卦岭,11人关注 / 1个月以前发布,213,单价55716元/平米
朝南通透4房！满5年唯一住房！,泰华阳光海小区 , | 4室2厅 | 97.55平米 | 南 | 精装,中楼层(共26层)2009年建板塔结合  -  ,碧海,98人关注 / 2个月以前发布,675,单价69196元/平米
尚书苑方正2房  客厅出阳台   通风采光好,尚书苑 , | 2室2厅 | 61.91平米 | 东南 | 简装,中楼层(共16层)2005年建板塔结合  -  ,梅林,12人关注 / 18天以前发布,450,单价72687元/平米
地铁口物业，楼下 配套成熟，正规大两房,祥云天都世纪大厦 , | 2室1厅 | 84.08平米 | 西南 | 精装,中楼层(共32层)2007年建板塔结合  -  ,新洲,90人关注 / 4个月以前发布,468,单价55662元/平米
桂芳园五期大三房89.44平355万西南向，精装修！,桂芳园五期 , | 3室1厅 | 89.44平米 | 西南 | 精装,中楼层(共15层)2003年建板塔结合  -  ,布吉大芬,56人关注 / 15天以前发布,355,单价39692元/平米
大芬地铁站  电梯2房  税费少,茂业城 , | 2室2厅 | 57.66平米 | 东南 | 简装,中楼层(共33层)1997年建板塔结合  -  ,布吉大芬,30人关注 / 15天以前发布,188,单价32605元/平米
福田梅林公园旁社区，满五年唯一税少，低密度近地铁,福兴花园 , | 3室2厅 | 97.69平米 | 南 | 简装,高楼层(共11层)2002年建板塔结合  -  ,梅林,12人关注 / 12天以前发布,610,单价62443元/平米
精装修2+1房，装修保养均不错高楼层，采光通风好！,兴达华府 , | 2室1厅 | 52.86平米 | 南 | 精装,中楼层(共29层)2009年建塔楼  -  ,西乡,264人关注 / 3个月以前发布,300,单价56754元/平米
拎包入住、 大花园小户型，精装温馨舒适房,富瑰园 , | 1室1厅 | 47.31平米 | 东 | 精装,高楼层(共12层)2000年建塔楼  -  ,西乡,47人关注 / 3个月以前发布,265,单价56014元/平米
带固定车位  红本在手 满五年 地铁口,水木澜山居 , | 3室1厅 | 83.98平米 | 东 东南 南 | 精装,高楼层(共31层)2008年建板塔结合  -  ,梅林,18人关注 / 2个月以前发布,639,单价76090元/平米
东南向客厅出阳台，满五年红本在手唯一住宅,万科金色领域 , | 3室2厅 | 88.62平米 | 东南 | 精装,低楼层(共15层)2012年建板塔结合  -  ,福永,33人关注 / 4个月以前发布,450,单价50779元/平米
招商观园 中高楼层 正规三房  满2年  东南朝向,招商观园 , | 3室1厅 | 88.63平米 | 东南 | 精装,中楼层(共18层)2012年建板塔结合  -  ,观澜,31人关注 / 3个月以前发布,390,单价44004元/平米
海岸城 花园社区全新精装两房 客厅出阳台 户型方正,佳嘉豪苑 , | 2室2厅 | 69.67平米 | 北 | 精装,中楼层(共23层)2003年建板塔结合  -  ,南山中心,13人关注 / 19天以前发布,625,单价89709元/平米
水岸新都大社区 大两房 满5年唯一  红本在手 税费少,佳兆业水岸新都 , | 2室1厅 | 80.91平米 | 南 | 精装,低楼层(共28层)2008年建板楼  -  ,龙岗双龙,64人关注 / 3个月以前发布,233,单价28798元/平米
清林径小区花园位置 精装三房 满五唯一,万科清林径 , | 3室2厅 | 79.85平米 | 北 | 精装,中楼层(共32层)2012年建板塔结合  -  ,龙岗中心城,42人关注 / 1个月以前发布,278,单价34816元/平米
碧馨苑正南向三房，精装地铁口物业，通风采光好,碧馨苑 , | 3室2厅 | 90.19平米 | 南 | 精装,低楼层(共18层)2001年建板塔结合  -  ,石厦,5人关注 / 13天以前发布,660,单价73179元/平米
悦方广场旁，高层精装修，厅出阳台，南北通,鼎胜金域世家 , | 3室2厅 | 89.97平米 | 南 | 精装,高楼层(共28层)2015年建板塔结合  -  ,大学城,49人关注 / 4个月以前发布,760,单价84473元/平米
南山电梯高楼层 户型方正3房单价低,东方花园桂花苑 , | 3室2厅 | 132.7平米 | 南 | 精装,中楼层(共30层)1994年建板塔结合  -  ,华侨城,12人关注 / 1个月以前发布,840,单价63301元/平米
承翰陶源.精装三房.客厅出阳台.高楼层视野开阔,承翰陶源 , | 3室2厅 | 88.58平米 | 南 | 精装,高楼层(共31层)2014年建板塔结合  -  ,龙岗中心城,7人关注 / 1个月以前发布,303,单价34207元/平米
近口岸，精装修，高层视野好采光足，总价低,皇御苑四期 , | 1室0厅 | 48.28平米 | 东 | 精装,中楼层(共32层)2011年建板塔结合  -  ,皇岗,26人关注 / 8个月以前发布,280,单价57996元/平米
精装高层朝南两房 税费低 接驳3号线木棉湾站 总价低,佳兆业新都汇 , | 2室2厅 | 65.13平米 | 南 | 精装,高楼层(共30层)2013年建板塔结合  -  ,布吉南岭,17人关注 / 1个月以前发布,328,单价50361元/平米
房子中间楼层，正规大三房，采光通透性好,福中福花园一期 , | 3室1厅 | 102.92平米 | 南 | 精装,中楼层(共8层)1999年建板楼  -  ,西乡,15人关注 / 1个月以前发布,430,单价41781元/平米
悦城花园三期   优质装修大三房  保养良好,中央悦城 , | 3室1厅 | 85.83平米 | 西 | 精装,中楼层(共32层)2013年建板楼  -  ,龙岗中心城,15人关注 / 13天以前发布,300,单价34953元/平米
地铁口 使用率高  万科旁边 新亚洲初中,风临域 , | 4室2厅 | 109.81平米 | 西南 | 简装,低楼层(共17层)2009年建板塔结合  -  ,龙岗中心城,35人关注 / 一年前发布,450,单价40980元/平米
业主在深圳满五年唯一住房 红本在手 高层东南向,半岛城邦花园二期 , | 4室1厅 | 150.7平米 | 东南 | 精装,高楼层(共24层)2009年建板塔结合  -  ,蛇口,25人关注 / 5天以前发布,1350,单价89582元/平米
正规两房，次顶层，采光通风不错,碧海富通城二期 , | 2室2厅 | 76.17平米 | 东北 | 精装,高楼层(共18层)2007年建塔楼  -  ,碧海,19人关注 / 27天以前发布,450,单价59079元/平米
正地铁口电梯精装三房，业主诚意出售,东方明珠城 , | 3室2厅 | 93.5平米 | 东南 | 精装,高楼层(共32层)2007年建塔楼  -  ,龙岗中心城,108人关注 / 2个月以前发布,285,单价30482元/平米
房子满2年，低总价，大社区，环境宜居,皇御苑一期 , | 1室1厅 | 42.03平米 | 西 | 精装,低楼层(共27层)2001年建板塔结合  -  ,皇岗,77人关注 / 一年前发布,255,单价60671元/平米
朝南大三房 视野好采光佳 满五年红本在手 业主诚心卖,桃源村二期 , | 3室2厅 | 93.22平米 | 南 | 简装,中楼层(共20层)2003年建塔楼  -  ,西丽,30人关注 / 2个月以前发布,530,单价56855元/平米
松坪村东区三期 2室2厅 410万,松坪村东区三期 , | 2室2厅 | 58.83平米 | 南 | 精装,低楼层(共34层)2012年建塔楼  -  ,科技园,119人关注 / 一年前发布,410,单价69693元/平米
配套完善总价低 户型实用 朝南 阳台大采光足 电梯房,西城品阁 , | 1室1厅 | 37.38平米 | 南 | 精装,中楼层(共8层)2008年建板塔结合  -  ,新安,27人关注 / 1个月以前发布,215,单价57518元/平米
大世纪水山缘 实用3房 中间楼层 满5年红本在手,大世纪水山缘 , | 3室1厅 | 78.05平米 | 北 | 简装,中楼层(共11层)2004年建塔楼  -  ,布吉南岭,44人关注 / 一年前发布,285,单价36516元/平米
业主置换 满五唯一 红本在手 深圳刚需上车紧.邻万科,海逸雅居 , | 2室2厅 | 69.2平米 | 东南 西北 | 简装,低楼层(共6层)2007年建板楼  -  ,大运新城,57人关注 / 2个月以前发布,270,单价39018元/平米
香缇雅苑 新装修一房一厅 业主诚心出售 看房随时方便,香缇雅苑 , | 1室1厅 | 44.4平米 | 东南 | 简装,低楼层(共18层)2007年建板塔结合  -  ,龙华中心,59人关注 / 1个月以前发布,190,单价42793元/平米
深中3/7号线地铁口田贝站，好出租，一手业主税费少,阳光天地家园 , | 2室1厅 | 62.52平米 | 南 | 简装,高楼层(共32层)2004年建塔楼  -  ,翠竹,26人关注 / 7个月以前发布,485,单价77576元/平米
招商城市主场看笔架山体育馆视野红本在手流程快税费少,城市主场 , | 1室0厅 | 45.57平米 | 西北 | 简装,低楼层(共33层)2005年建板塔结合  -  ,八卦岭,19人关注 / 18天以前发布,265,单价58153元/平米
皇御苑四期 2室1厅 418万,皇御苑四期 , | 2室1厅 | 55.63平米 | 西南 | 简装,高楼层(共30层)2012年建板塔结合  -  ,皇岗,45人关注 / 1个月以前发布,418,单价75140元/平米
桂芳园六期两房视野开阔，满五年，唯一一套,桂芳园六期 , | 2室1厅 | 70.05平米 | 西南 | 精装,高楼层(共21层)2004年建板塔结合  -  ,布吉大芬,22人关注 / 7个月以前发布,300,单价42827元/平米
怡园大厦 精装3房 业主诚信出售,怡园大厦 , | 3室2厅 | 116.59平米 | 西北 | 精装,低楼层(共32层)2000年建板塔结合  -  ,南山中心,11人关注 / 9天以前发布,560,单价48032元/平米
富瑰园大花园社区，东南向电梯精装两房满五唯一税费少,富瑰园 , | 2室1厅 | 48.75平米 | 东南 | 简装,高楼层(共12层)2000年建塔楼  -  ,西乡,32人关注 / 1个月以前发布,266,单价54565元/平米
新洲花园南向精装2房，户型方正，装修保养好。,新洲花园 , | 2室2厅 | 76.46平米 | 南 | 精装,中楼层(共8层)1993年建板楼  -  ,新洲,15人关注 / 8天以前发布,440,单价57547元/平米
中间楼层，满五唯一红本在手朝向无遮挡，采光好,阳光翠园 , | 2室1厅 | 60.47平米 | 北 | 简装,中楼层(共8层)2001年建板楼  -  ,布吉南岭,43人关注 / 1个月以前发布,199,单价32909元/平米
宝安新区5房3卫，大阳台29平，高楼层，环视欢乐海岸,金成时代家园 , | 5室2厅 | 150.87平米 | 西南 东北 | 精装,中楼层(共29层)2006年建板塔结合  -  ,宝安中心,33人关注 / 4个月以前发布,949,单价62902元/平米
南山蛇口天骄华庭4房 安静，满五年名下一套房，红本。,天骄华庭 , | 4室2厅 | 152.34平米 | 南 | 简装,高楼层(共16层)2004年建板楼  -  ,蛇口,7人关注 / 10天以前发布,1600,单价105029元/平米
百仕达东郡 精装两房 满五唯一 红本在手 户型方正,百仕达东郡 , | 2室1厅 | 76.53平米 | 西 | 精装,低楼层(共29层)2005年建板塔结合  -  ,百仕达,6人关注 / 1个月以前发布,535,单价69908元/平米
丰润花园 中间楼层 南向两房 业主诚心卖,丰润花园 , | 2室2厅 | 72.9平米 | 南 | 简装,低楼层(共8层)1998年建板塔结合  -  ,龙华新区,9人关注 / 31天以前发布,320,单价43896元/平米
3号线地铁口 满五 花园小区  户型方正,中兆花园 , | 3室1厅 | 68.18平米 | 北 | 简装,中楼层(共8层)1999年建塔楼  -  ,布吉大芬,51人关注 / 6个月以前发布,255,单价37401元/平米
满五唯一 客厅出阳台 带入户花园 通透舒适,中海阳光玫瑰园 , | 2室2厅 | 67平米 | 东南 | 精装,低楼层(共31层)2010年建塔楼  -  ,前海,51人关注 / 1个月以前发布,595,单价88806元/平米
灵芝地铁口 中粮大悦城 花园中间两房  诚心出售,建安花园 , | 2室1厅 | 55.2平米 | 西北 | 简装,中楼层(共7层)1992年建板塔结合  -  ,新安,33人关注 / 14天以前发布,300,单价54348元/平米
奥宸观壹城 大两房 业主诚心卖，就近振能小，学,奥宸观壹城 , | 2室2厅 | 69.77平米 | 南 | 毛坯,低楼层(共33层)2015年建板塔结合  -  ,观澜,45人关注 / 2个月以前发布,298,单价42712元/平米
满五年标准大两房，朝南户型光线好,华茂苑 , | 2室1厅 | 78平米 | 南 | 简装,低楼层(共7层)1992年建板楼  -  ,梅林,19人关注 / 16天以前发布,433,单价55513元/平米
满五年 红本在手 正厅出阳台 采光视野好,东方明珠城 , | 2室1厅 | 62.63平米 | 东北 | 简装,低楼层(共32层)2007年建塔楼  -  ,龙岗中心城,133人关注 / 7个月以前发布,245,单价39119元/平米
温馨两房 中间楼层 朝南 三阳台,万象天成 , | 2室1厅 | 70.54平米 | 南 | 精装,低楼层(共26层)2010年建板塔结合  -  ,龙岗中心城,44人关注 / 1个月以前发布,239.8,单价33995元/平米
诺德假日花园 2室1厅 600万,诺德假日花园 , | 2室1厅 | 66.51平米 | 东 | 精装,中楼层(共30层)2009年建板塔结合  -  ,前海,18人关注 / 3个月以前发布,600,单价90212元/平米
天虹楼上 满五唯一通透精装三房 刚需低总价三房,深业东城国际 , | 3室2厅 | 74.74平米 | 南 | 精装,高楼层(共33层)2013年建塔楼  -  ,坪山,51人关注 / 2个月以前发布,253,单价33851元/平米
地铁口物业 满五年红本在手税费少 业主急卖,碧湾雅园 , | 3室2厅 | 118.06平米 | 西南 | 精装,高楼层(共16层)2009年建板塔结合  -  ,西乡,29人关注 / 1个月以前发布,580,单价49128元/平米
阳光新干线 客厅出大阳台 特殊户型68平,阳光新干线家园 , | 2室1厅 | 68.41平米 | 南 | 精装,高楼层(共33层)2005年建板塔结合  -  ,春风路,44人关注 / 14天以前发布,338,单价49408元/平米
祥云天都世纪大厦 2室1厅 445万,祥云天都世纪大厦 , | 2室1厅 | 79.64平米 | 南 | 精装,低楼层(共32层)2007年建板塔结合  -  ,新洲,48人关注 / 1个月以前发布,445,单价55877元/平米
房子满五唯一红本在手，税费少，有电梯，业主诚心卖,意馨居 , | 1室0厅 | 39.09平米 | 北 | 简装,高楼层(共9层)1999年建板塔结合  -  ,八卦岭,16人关注 / 2个月以前发布,216,单价55258元/平米
前海自贸区，通透小三房，南北向，小高层，看花园,鼎太风华二期 , | 3室2厅 | 95.44平米 | 南 北 | 精装,低楼层(共11层)2003年建板塔结合  -  ,前海,37人关注 / 3个月以前发布,898,单价94091元/平米
一层一户  满五年唯一 红本在手,花园城三期 , | 3室1厅 | 105.02平米 | 南 | 简装,高楼层(共11层)2004年建板楼  -  ,蛇口,8人关注 / 12天以前发布,1060,单价100934元/平米
万象天成标准2房 满2年 税费少 厅出阳台 采光视野好,万象天成 , | 2室2厅 | 70.8平米 | 东南 | 简装,中楼层(共26层)2010年建板塔结合  -  ,龙岗中心城,156人关注 / 9个月以前发布,230,单价32486元/平米
精装修三房急售 通风采光好 户型方正 住家过渡很适合,鸿景园 , | 3室1厅 | 113.64平米 | 西北 | 精装,高楼层(共24层)2005年建塔楼  -  ,新安,4人关注 / 12天以前发布,628,单价55263元/平米
华丰苑 3室1厅 525万,华丰苑 , | 3室1厅 | 72.09平米 | 南 | 精装,中楼层(共7层)1996年建板楼  -  ,蛇口,6人关注 / 14天以前发布,525,单价72826元/平米
地铁口物业 精装2房2厅户型，满二年，光线通风好,怡康家园 , | 2室2厅 | 48.8平米 | 南 | 精装,高楼层(共16层)2006年建板塔结合  -  ,布吉大芬,20人关注 / 2个月以前发布,232,单价47541元/平米
中间楼层实用3房出售！  厅出阳台，自住精装修,翰岭院 , | 3室1厅 | 87.22平米 | 北 | 精装,中楼层(共17层)2005年建板塔结合  -  ,梅林,51人关注 / 7个月以前发布,590,单价67646元/平米
满五唯一红本在手新街口花园南油服装城蛇口自贸区房,新街口花园 , | 2室1厅 | 59.29平米 | 东北 | 精装,高楼层(共16层)2004年建板塔结合  -  ,南山中心,116人关注 / 2个月以前发布,395,单价66622元/平米
上善梧桐苑 满两年有钥匙 高层看海景山景南北通通风好,上善梧桐苑 , | 4室2厅 | 115.85平米 | 东南 南 北 | 毛坯,高楼层(共26层)2016年建暂无数据  -  ,沙头角,4人关注 / 3个月以前发布,660,单价56971元/平米
桂芳园双阳台，精装两房，看花园，安静舒适，适合居家,桂芳园二期 , | 2室2厅 | 67.51平米 | 北 | 简装,中楼层(共11层)2002年建板塔结合  -  ,布吉大芬,21人关注 / 5个月以前发布,288,单价42661元/平米
翠海花园 朝南四房 高楼层看香蜜湖景观,翠海花园一期 , | 4室1厅 | 105.18平米 | 南 | 精装,高楼层(共18层)2000年建板楼  -  ,香蜜湖,13人关注 / 2个月以前发布,1610,单价153071元/平米
新上笋盘，满五唯一，高楼层，三年才出一套的户型,碧荔花园 , | 3室2厅 | 90.05平米 | 南 | 精装,高楼层(共9层)1997年建板塔结合  -  ,梅林,26人关注 / 10天以前发布,560,单价62188元/平米
"满五唯一，红本在手，税费少,正南朝向，高层采光",友邻公寓 , | 2室1厅 | 57平米 | 南 | 精装,30层2006年建塔楼  -  ,南山中心,31人关注 / 23天以前发布,465,单价81579元/平米
大金沙改造片区7号线沙尾地铁口金地物业海景房,金地名轩 , | 2室1厅 | 70.45平米 | 南 | 简装,高楼层(共33层)2010年建板塔结合  -  ,沙尾,31人关注 / 1个月以前发布,510,单价72392元/平米
碧桂园物业标准三房 290万,心海城 , | 3室1厅 | 88.47平米 | 南 | 毛坯,中楼层(共32层)塔楼  -  ,坪山,8人关注 / 4个月以前发布,290,单价32780元/平米
梅村地铁口，上梅林电梯南北通3房，精装修！,新世界家园 , | 3室2厅 | 108.92平米 | 南 北 | 精装,低楼层(共29层)2004年建板塔结合  -  ,梅林,31人关注 / 1个月以前发布,650,单价59677元/平米
碧海湾三房两卫，新小区 改善可以选,华丰前海湾 , | 3室2厅 | 88.25平米 | 东北 | 精装,低楼层(共31层)2017年建板塔结合  -  ,碧海,13人关注 / 4个月以前发布,635,单价71955元/平米
7号线桃源村站 人车分流 满五唯一 东南向安静看花园,桃源村三期 , | 3室1厅 | 92.61平米 | 东南 南 | 简装,低楼层(共35层)2008年建板楼  -  ,西丽,29人关注 / 1个月以前发布,580,单价62629元/平米
